Date,Daily_Cases
1/1/2021,15995
1/1/2022,548
1/10/2021,19097
1/10/2022,908
1/11/2021,17256
1/11/2022,1605
1/12/2021,20305
1/12/2022,1292
1/13/2021,22353
1/13/2022,1585
1/14/2021,23048
1/14/2022,1700
1/15/2021,23840
1/15/2022,2109
1/16/2021,26842
1/16/2022,1710
1/17/2021,22502
1/17/2022,1544
1/18/2021,18476
1/18/2022,2724
1/19/2021,20825
1/19/2022,3490
1/2/2021,14492
1/2/2022,349
1/20/2021,25216
1/20/2022,4232
1/21/2021,23888
1/21/2022,5208
1/22/2021,27585
1/22/2022,6410
1/23/2021,24329
1/23/2022,5850
1/24/2021,23629
1/24/2022,5857
1/25/2021,19731
1/25/2022,9756
1/26/2021,26067
1/26/2022,14020
1/27/2021,24411
1/27/2022,16154
1/28/2021,26867
1/28/2022,19811
1/29/2021,27434
1/29/2022,23176
1/3/2021,13411
1/3/2022,530
1/30/2021,29303
1/30/2022,24840
1/31/2021,23794
1/31/2022,20370
1/4/2021,13616
1/4/2022,599
1/5/2021,14937
1/5/2022,809
1/6/2021,17452
1/6/2022,1067
1/7/2021,18358
1/7/2022,1036
1/8/2021,21138
1/8/2022,958
1/9/2021,20011
1/9/2022,1058
10/1/2020,8645
10/1/2021,3248
10/10/2020,8586
10/10/2021,1788
10/11/2020,8971
10/11/2021,1239
10/12/2020,6551
10/12/2021,2525
10/13/2020,7886
10/13/2021,2466
10/14/2020,8261
10/14/2021,2106
10/15/2020,8843
10/15/2021,1829
10/16/2020,8708
10/16/2021,1994
10/17/2020,8587
10/17/2021,1494
10/18/2020,8269
10/18/2021,1252
10/19/2020,6770
10/19/2021,1805
10/2/2020,8710
10/2/2021,2826
10/20/2020,7242
10/20/2021,1831
10/21/2020,8498
10/21/2021,1265
10/22/2020,8884
10/22/2021,1520
10/23/2020,8723
10/23/2021,1604
10/24/2020,8126
10/24/2021,1244
10/25/2020,7477
10/25/2021,923
10/26/2020,6473
10/26/2021,1222
10/27/2020,7054
10/27/2021,1438
10/28/2020,8053
10/28/2021,1447
10/29/2020,7085
10/29/2021,1366
10/3/2020,8110
10/3/2021,2284
10/30/2020,5830
10/30/2021,1240
10/31/2020,6350
10/31/2021,1046
10/4/2020,8045
10/4/2021,1844
10/5/2020,7354
10/5/2021,2811
10/6/2020,8180
10/6/2021,2967
10/7/2020,9123
10/7/2021,2785
10/8/2020,9702
10/8/2021,2767
10/9/2020,8198
10/9/2021,2334
11/1/2020,5759
11/1/2021,808
11/10/2020,7634
11/10/2021,961
11/11/2020,7555
11/11/2021,872
11/12/2020,8417
11/12/2021,799
11/13/2020,10866
11/13/2021,718
11/14/2020,10604
11/14/2021,683
11/15/2020,8293
11/15/2021,442
11/16/2020,7033
11/16/2021,693
11/17/2020,7847
11/17/2021,1043
11/18/2020,8562
11/18/2021,803
11/19/2020,9742
11/19/2021,720
11/2/2020,5217
11/2/2021,1224
11/20/2020,9690
11/20/2021,790
11/21/2020,10121
11/21/2021,631
11/22/2020,8820
11/22/2021,371
11/23/2020,8869
11/23/2021,792
11/24/2020,8453
11/24/2021,902
11/25/2020,11107
11/25/2021,744
11/26/2020,9841
11/26/2021,907
11/27/2020,11571
11/27/2021,808
11/28/2020,10857
11/28/2021,529
11/29/2020,12254
11/29/2021,353
11/3/2020,5963
11/3/2021,1604
11/30/2020,8920
11/30/2021,595
11/4/2020,6765
11/4/2021,1257
11/5/2020,8196
11/5/2021,1036
11/6/2020,7567
11/6/2021,803
11/7/2020,8489
11/7/2021,887
11/8/2020,7786
11/8/2021,489
11/9/2020,5719
11/9/2021,869
12/1/2020,10266
12/1/2021,555
12/10/2020,11833
12/10/2021,384
12/11/2020,12638
12/11/2021,456
12/12/2020,12675
12/12/2021,327
12/13/2020,12111
12/13/2021,212
12/14/2020,10857
12/14/2021,380
12/15/2020,12370
12/15/2021,410
12/16/2020,13479
12/16/2021,427
12/17/2020,14589
12/17/2021,582
12/18/2020,13737
12/18/2021,464
12/19/2020,15234
12/19/2021,328
12/2/2020,11046
12/2/2021,623
12/20/2020,14040
12/20/2021,267
12/21/2020,13825
12/21/2021,432
12/22/2020,12828
12/22/2021,358
12/23/2020,14886
12/23/2021,272
12/24/2020,14700
12/24/2021,408
12/25/2020,14745
12/25/2021,510
12/26/2020,13327
12/26/2021,183
12/27/2020,13312
12/27/2021,240
12/28/2020,11861
12/28/2021,558
12/29/2020,15751
12/29/2021,388
12/3/2020,16779
12/3/2021,491
12/30/2020,16075
12/30/2021,378
12/31/2020,17094
12/31/2021,359
12/4/2020,11712
12/4/2021,491
12/5/2020,11884
12/5/2021,393
12/6/2020,12107
12/6/2021,260
12/7/2020,11529
12/7/2021,522
12/8/2020,10784
12/8/2021,528
12/9/2020,12221
12/9/2021,440
2/1/2021,22033
2/1/2022,32040
2/10/2021,17842
2/10/2022,81236
2/11/2021,17075
2/11/2022,80977
2/12/2021,20086
2/12/2022,110416
2/13/2021,17869
2/13/2022,89051
2/14/2021,13702
2/14/2022,73000
2/15/2021,12990
2/15/2022,114099
2/16/2021,19785
2/16/2022,129436
2/17/2021,19758
2/17/2022,127911
2/18/2021,16524
2/18/2022,119268
2/19/2021,19557
2/19/2022,118768
2/2/2021,20911
2/2/2022,35791
2/20/2021,16435
2/20/2022,96968
2/21/2021,14546
2/21/2022,68835
2/22/2021,19371
2/22/2022,114730
2/23/2021,19814
2/23/2022,122976
2/24/2021,15194
2/24/2022,114911
2/25/2021,16863
2/25/2022,99010
2/26/2021,16496
2/26/2022,93360
2/27/2021,12673
2/27/2022,69953
2/28/2021,11322
2/28/2022,50106
2/3/2021,24349
2/3/2022,54395
2/4/2021,22882
2/4/2022,64442
2/5/2021,23722
2/5/2022,67460
2/6/2021,24272
2/6/2022,72114
2/7/2021,21953
2/7/2022,52242
2/8/2021,16711
2/8/2022,74982
2/9/2021,17726
2/9/2022,93686
3/1/2020,2
3/1/2021,13118
3/1/2022,49457
3/10/2020,9
3/10/2021,11182
3/10/2022,42622
3/11/2020,10
3/11/2021,10376
3/11/2022,32218
3/12/2020,3
3/12/2021,12689
3/12/2022,29799
3/13/2020,44
3/13/2021,9282
3/13/2022,23170
3/14/2020,35
3/14/2021,9485
3/14/2022,19264
3/15/2020,33
3/15/2021,10884
3/15/2022,28816
3/16/2020,25
3/16/2021,10812
3/16/2022,26036
3/17/2020,54
3/17/2021,13691
3/17/2022,23063
3/18/2020,70
3/18/2021,13288
3/18/2022,19058
3/19/2020,98
3/19/2021,12646
3/19/2022,15902
3/2/2020,5
3/2/2021,11249
3/2/2022,81839
3/20/2020,96
3/20/2021,11426
3/20/2022,11844
3/21/2020,104
3/21/2021,8848
3/21/2022,9398
3/22/2020,87
3/22/2021,11617
3/22/2022,14928
3/23/2020,79
3/23/2021,10343
3/23/2022,12752
3/24/2020,132
3/24/2021,10194
3/24/2022,11616
3/25/2020,153
3/25/2021,12162
3/25/2022,9714
3/26/2020,210
3/26/2021,10099
3/26/2022,8378
3/27/2020,290
3/27/2021,9014
3/27/2022,6154
3/28/2020,231
3/28/2021,8207
3/28/2022,5596
3/29/2020,260
3/29/2021,9781
3/29/2022,7790
3/3/2020,3
3/3/2021,12985
3/3/2022,74517
3/30/2020,266
3/30/2021,9344
3/30/2022,7680
3/31/2020,224
3/31/2021,11870
3/31/2022,6664
3/4/2020,3
3/4/2021,14439
3/4/2022,52694
3/5/2020,1
3/5/2021,13770
3/5/2022,60311
3/6/2020,4
3/6/2021,11670
3/6/2022,49735
3/7/2020,0
3/7/2021,11769
3/7/2022,42749
3/8/2020,4
3/8/2021,13650
3/8/2022,60295
3/9/2020,13
3/9/2021,12758
3/9/2022,52672
4/1/2020,302
4/1/2021,12395
4/1/2022,5860
4/10/2020,450
4/10/2021,9559
4/10/2022,2141
4/11/2020,657
4/11/2021,8269
4/11/2022,2392
4/12/2020,843
4/12/2021,9393
4/12/2022,2910
4/13/2020,618
4/13/2021,11272
4/13/2022,3102
4/14/2020,569
4/14/2021,11291
4/14/2022,1666
4/15/2020,611
4/15/2021,12491
4/15/2022,1844
4/16/2020,743
4/16/2021,10701
4/16/2022,1206
4/17/2020,823
4/17/2021,10146
4/17/2022,1214
4/18/2020,658
4/18/2021,9283
4/18/2022,1118
4/19/2020,667
4/19/2021,9785
4/19/2022,1675
4/2/2020,221
4/2/2021,10619
4/2/2022,4600
4/20/2020,356
4/20/2021,11117
4/20/2022,1482
4/21/2020,775
4/21/2021,11451
4/21/2022,1170
4/22/2020,570
4/22/2021,12465
4/22/2022,1302
4/23/2020,712
4/23/2021,10854
4/23/2022,1045
4/24/2020,860
4/24/2021,9214
4/24/2022,764
4/25/2020,759
4/25/2021,8989
4/25/2022,634
4/26/2020,558
4/26/2021,11556
4/26/2022,1152
4/27/2020,424
4/27/2021,9382
4/27/2022,1234
4/28/2020,809
4/28/2021,10481
4/28/2022,824
4/29/2020,537
4/29/2021,11697
4/29/2022,790
4/3/2020,387
4/3/2021,8787
4/3/2022,3866
4/30/2020,712
4/30/2021,10948
4/30/2022,659
4/4/2020,224
4/4/2021,13476
4/4/2022,3322
4/5/2020,348
4/5/2021,7439
4/5/2022,4564
4/6/2020,452
4/6/2021,8895
4/6/2022,4800
4/7/2020,471
4/7/2021,9836
4/7/2022,4178
4/8/2020,451
4/8/2021,10941
4/8/2022,3510
4/9/2020,681
4/9/2021,10560
4/9/2022,2936
5/1/2020,874
5/1/2021,9056
5/1/2022,488
5/10/2020,764
5/10/2021,9734
5/10/2022,912
5/11/2020,484
5/11/2021,10086
5/11/2022,801
5/12/2020,949
5/12/2021,9195
5/12/2022,670
5/13/2020,1413
5/13/2021,6905
5/13/2022,670
5/14/2020,1149
5/14/2021,5254
5/14/2022,616
5/15/2020,987
5/15/2021,4799
5/15/2022,514
5/16/2020,1038
5/16/2021,6217
5/16/2022,363
5/17/2020,1015
5/17/2021,8535
5/17/2022,497
5/18/2020,1024
5/18/2021,8367
5/18/2022,654
5/19/2020,987
5/19/2021,9764
5/19/2022,636
5/2/2020,610
5/2/2021,8825
5/2/2022,336
5/20/2020,1338
5/20/2021,11604
5/20/2022,500
5/21/2020,1857
5/21/2021,11508
5/21/2022,526
5/22/2020,1350
5/22/2021,10690
5/22/2022,454
5/23/2020,1924
5/23/2021,10645
5/23/2022,349
5/24/2020,1037
5/24/2021,11715
5/24/2022,690
5/25/2020,930
5/25/2021,10169
5/25/2022,630
5/26/2020,880
5/26/2021,10181
5/26/2022,492
5/27/2020,1358
5/27/2021,12473
5/27/2022,448
5/28/2020,1392
5/28/2021,11701
5/28/2022,558
5/29/2020,1411
5/29/2021,13196
5/29/2022,484
5/3/2020,763
5/3/2021,9358
5/3/2022,214
5/30/2020,1131
5/30/2021,12352
5/30/2022,436
5/31/2020,1371
5/31/2021,11233
5/31/2022,680
5/4/2020,788
5/4/2021,8742
5/4/2022,352
5/5/2020,939
5/5/2021,10568
5/5/2022,501
5/6/2020,754
5/6/2021,11332
5/6/2022,490
5/7/2020,637
5/7/2021,12644
5/7/2022,436
5/8/2020,1293
5/8/2021,12311
5/8/2022,454
5/9/2020,1099
5/9/2021,7869
5/9/2022,508
6/1/2020,962
6/1/2021,9721
6/1/2022,736
6/10/2020,2517
6/10/2021,18016
6/10/2022,1254
6/11/2020,1938
6/11/2021,16378
6/11/2022,1148
6/12/2020,2145
6/12/2021,15149
6/12/2022,1102
6/13/2020,2126
6/13/2021,19983
6/13/2022,1183
6/14/2020,1733
6/14/2021,16805
6/14/2022,1860
6/15/2020,2133
6/15/2021,17031
6/15/2022,2484
6/16/2020,2172
6/16/2021,20508
6/16/2022,2345
6/17/2020,2083
6/17/2021,25179
6/17/2022,2440
6/18/2020,2634
6/18/2021,26520
6/18/2022,2528
6/19/2020,2185
6/19/2021,25873
6/19/2022,2332
6/2/2020,1208
6/2/2021,10505
6/2/2022,608
6/20/2020,2428
6/20/2021,27532
6/20/2022,2361
6/21/2020,1790
6/21/2021,29583
6/21/2022,3355
6/22/2020,1978
6/22/2021,27173
6/22/2022,3969
6/23/2020,2127
6/23/2021,30504
6/23/2022,3813
6/24/2020,2279
6/24/2021,39957
6/24/2022,4134
6/25/2020,2501
6/25/2021,37409
6/25/2022,3661
6/26/2020,2549
6/26/2021,41917
6/26/2022,3454
6/27/2020,2783
6/27/2021,42723
6/27/2022,2891
6/28/2020,2336
6/28/2021,40716
6/28/2022,4335
6/29/2020,2165
6/29/2021,41264
6/29/2022,4300
6/3/2020,1389
6/3/2021,10811
6/3/2022,744
6/30/2020,2665
6/30/2021,43943
6/30/2022,4497
6/4/2020,1226
6/4/2021,13141
6/4/2022,793
6/5/2020,1428
6/5/2021,13249
6/5/2022,773
6/6/2020,1830
6/6/2021,11737
6/6/2022,684
6/7/2020,1539
6/7/2021,14029
6/7/2022,1036
6/8/2020,1721
6/8/2021,12751
6/8/2022,1040
6/9/2020,2079
6/9/2021,15486
6/9/2022,1112
7/1/2020,2938
7/1/2021,48920
7/1/2022,4097
7/10/2020,3330
7/10/2021,70497
7/10/2022,5151
7/11/2020,3415
7/11/2021,72612
7/11/2022,3362
7/12/2020,3270
7/12/2021,80688
7/12/2022,6722
7/13/2020,2614
7/13/2021,96002
7/13/2022,7644
7/14/2020,3150
7/14/2021,108119
7/14/2022,7168
7/15/2020,3230
7/15/2021,112997
7/15/2022,6662
7/16/2020,3265
7/16/2021,107992
7/16/2022,8659
7/17/2020,3033
7/17/2021,103102
7/17/2022,7080
7/18/2020,3621
7/18/2021,89218
7/18/2022,6786
7/19/2020,3366
7/19/2021,68958
7/19/2022,10171
7/2/2020,3269
7/2/2021,52400
7/2/2022,3588
7/20/2020,3518
7/20/2021,76998
7/20/2022,11311
7/21/2020,3428
7/21/2021,67359
7/21/2022,10824
7/22/2020,3925
7/22/2021,99216
7/22/2022,9670
7/23/2020,3813
7/23/2021,97372
7/23/2022,9887
7/24/2020,3630
7/24/2021,90225
7/24/2022,8142
7/25/2020,3716
7/25/2021,77191
7/25/2022,8095
7/26/2020,3032
7/26/2021,56101
7/26/2022,12954
7/27/2020,3119
7/27/2021,89208
7/27/2022,12876
7/28/2020,3487
7/28/2021,96130
7/28/2022,12706
7/29/2020,4751
7/29/2021,85952
7/29/2022,11662
7/3/2020,2657
7/3/2021,56354
7/3/2022,3228
7/30/2020,3819
7/30/2021,81756
7/30/2022,10796
7/31/2020,4031
7/31/2021,74001
7/31/2022,8409
7/4/2020,2880
7/4/2021,55142
7/4/2022,2868
7/5/2020,3107
7/5/2021,59124
7/5/2022,5154
7/6/2020,2473
7/6/2021,62029
7/6/2022,5485
7/7/2020,2662
7/7/2021,68852
7/7/2022,5762
7/8/2020,3777
7/8/2021,76045
7/8/2022,4944
7/9/2020,5268
7/9/2021,76558
7/9/2022,5411
8/1/2020,3476
8/1/2021,61015
8/1/2022,7390
8/10/2020,3420
8/10/2021,63815
8/10/2022,11852
8/11/2020,3394
8/11/2021,61675
8/11/2022,11064
8/12/2020,3896
8/12/2021,49879
8/12/2022,12182
8/13/2020,4240
8/13/2021,61774
8/13/2022,10209
8/14/2020,4523
8/14/2021,57477
8/14/2022,8885
8/15/2020,4676
8/15/2021,41636
8/15/2022,7176
8/16/2020,4077
8/16/2021,34530
8/16/2022,11738
8/17/2020,3628
8/17/2021,41644
8/17/2022,10506
8/18/2020,3387
8/18/2021,31538
8/18/2022,8078
8/19/2020,3816
8/19/2021,44373
8/19/2022,10327
8/2/2020,3219
8/2/2021,44005
8/2/2022,11653
8/20/2020,4570
8/20/2021,39941
8/20/2022,9844
8/21/2020,4392
8/21/2021,33497
8/21/2022,7898
8/22/2020,4254
8/22/2021,24818
8/22/2022,6600
8/23/2020,4077
8/23/2021,19200
8/23/2022,9716
8/24/2020,3779
8/24/2021,38217
8/24/2022,10766
8/25/2020,4927
8/25/2021,37347
8/25/2022,10522
8/26/2020,4595
8/26/2021,33797
8/26/2022,9099
8/27/2020,5452
8/27/2021,25235
8/27/2022,8338
8/28/2020,6090
8/28/2021,20101
8/28/2022,6456
8/29/2020,6614
8/29/2021,14855
8/29/2022,5741
8/3/2020,3213
8/3/2021,67027
8/3/2022,12334
8/30/2020,5736
8/30/2021,10873
8/30/2022,10140
8/31/2020,5507
8/31/2021,21070
8/31/2022,9126
8/4/2020,3827
8/4/2021,71233
8/4/2022,13054
8/5/2020,3642
8/5/2021,72260
8/5/2022,11859
8/6/2020,3748
8/6/2021,79315
8/6/2022,10910
8/7/2020,4930
8/7/2021,63769
8/7/2022,8558
8/8/2020,4530
8/8/2021,53399
8/8/2022,8849
8/9/2020,3744
8/9/2021,41786
8/9/2022,12552
9/1/2020,5617
9/1/2021,20676
9/1/2022,8188
9/10/2020,7716
9/10/2021,10751
9/10/2022,5218
9/11/2020,7496
9/11/2021,10002
9/11/2022,3878
9/12/2020,7620
9/12/2021,7558
9/12/2022,1995
9/13/2020,7270
9/13/2021,5155
9/13/2022,3087
9/14/2020,6279
9/14/2021,8255
9/14/2022,4699
9/15/2020,7136
9/15/2021,7897
9/15/2022,5293
9/16/2020,7955
9/16/2021,6289
9/16/2022,2358
9/17/2020,7328
9/17/2021,7669
9/18/2020,7951
9/18/2021,6770
9/19/2020,8333
9/19/2021,4467
9/2/2020,6109
9/2/2021,17909
9/2/2022,7232
9/20/2020,8018
9/20/2021,3865
9/21/2020,8136
9/21/2021,6528
9/22/2020,8200
9/22/2021,5443
9/23/2020,8921
9/23/2021,5760
9/24/2020,9233
9/24/2021,5112
9/25/2020,9370
9/25/2021,4275
9/26/2020,8978
9/26/2021,3519
9/27/2020,7807
9/27/2021,2784
9/28/2020,7092
9/28/2021,4113
9/29/2020,8097
9/29/2021,3906
9/3/2020,7222
9/3/2021,15591
9/3/2022,6519
9/30/2020,8905
9/30/2021,3384
9/4/2020,6549
9/4/2021,13451
9/4/2022,5527
9/5/2020,6258
9/5/2021,10808
9/5/2022,4680
9/6/2020,6834
9/6/2021,8826
9/6/2022,7214
9/7/2020,5747
9/7/2021,14401
9/7/2022,7026
9/8/2020,6134
9/8/2021,13461
9/8/2022,6276
9/9/2020,6665
9/9/2021,11980
9/9/2022,5608
